domainSize;nIterations;nThreads;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;avgColumnTemperature;totalTime;iterationTime
64;156250;1;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_out_seq.h5;seq;93.792694;3.437842e+00;2.200219e-05
64;156250;2;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_2threads_out_par1.h5;par1;0.000000;2.415275e+00;1.545776e-05
64;156250;3;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_3threads_out_par1.h5;par1;0.000000;1.900949e+00;1.216607e-05
64;156250;4;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_4threads_out_par1.h5;par1;0.000000;1.960667e+00;1.254827e-05
64;156250;5;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_5threads_out_par1.h5;par1;0.000000;1.905917e+00;1.219787e-05
64;156250;6;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_6threads_out_par1.h5;par1;0.000000;1.949584e+00;1.247734e-05
64;156250;7;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_7threads_out_par1.h5;par1;0.000000;1.828173e+00;1.170031e-05
64;156250;8;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_8threads_out_par1.h5;par1;0.000000;1.826254e+00;1.168802e-05
64;156250;9;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_9threads_out_par1.h5;par1;0.000000;1.997832e+00;1.278613e-05
64;156250;10;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_10threads_out_par1.h5;par1;0.000000;1.979333e+00;1.266773e-05
64;156250;11;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_11threads_out_par1.h5;par1;0.000000;1.919485e+00;1.228470e-05
64;156250;12;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_12threads_out_par1.h5;par1;0.000000;1.884939e+00;1.206361e-05
64;156250;13;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_13threads_out_par1.h5;par1;0.000000;2.146058e+00;1.373477e-05
64;156250;14;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_14threads_out_par1.h5;par1;0.000000;2.112003e+00;1.351682e-05
64;156250;15;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_15threads_out_par1.h5;par1;0.000000;2.481634e+00;1.588246e-05
64;156250;16;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_16threads_out_par1.h5;par1;0.000000;3.051801e+00;1.953153e-05
64;156250;2;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_2threads_out_par2.h5;par2;0.000000;2.988925e+00;1.912912e-05
64;156250;3;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_3threads_out_par2.h5;par2;0.000000;1.997782e+00;1.278580e-05
64;156250;4;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_4threads_out_par2.h5;par2;0.000000;1.702092e+00;1.089339e-05
64;156250;5;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_5threads_out_par2.h5;par2;0.000000;1.567465e+00;1.003178e-05
64;156250;6;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_6threads_out_par2.h5;par2;0.000000;1.682050e+00;1.076512e-05
64;156250;7;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_7threads_out_par2.h5;par2;0.000000;1.762961e+00;1.128295e-05
64;156250;8;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_8threads_out_par2.h5;par2;0.000000;1.533144e+00;9.812122e-06
64;156250;9;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_9threads_out_par2.h5;par2;0.000000;1.537974e+00;9.843034e-06
64;156250;10;25;0.001000;/lscratch/1165434.dm2/tmp_material.h5;/lscratch/1165434.dm2/64x64_10threads_out_par2.h5;par2;0.000000;1.980403e+00;1.267458e-05
