domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598122;2.209179e+00;5.655570e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1174982.dm2/256x256_out_128_par.h5;par;50.598122;1.331358e+00;3.408320e-05
512;19531;50;0.001000;input_data_512.h5;;par;30.967759;7.951090e-01;4.071010e-05
512;19531;50;0.001000;input_data_512.h5;/lscratch/1174982.dm2/512x512_out_128_par.h5;par;30.967759;1.391795e+00;7.126081e-05
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933412;3.390556e+00;3.472152e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174982.dm2/1024x1024_out_128_par.h5;par;23.933412;2.312205e+00;2.367850e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;6.461501e+00;1.323536e-03
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174982.dm2/2048x2048_out_128_par.h5;par;21.396944;6.394731e+00;1.309859e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496800;8.104092e+00;3.319988e-03
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174982.dm2/4096x4096_out_128_par.h5;par;20.496800;1.321267e+01;5.412812e-03
