domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;seq;50.598125;1.210245e+01;3.098268e-04
256;39062;50;0.001000;input_data_256.h5;/lscratch/1174997.dm2/256x256_out_seq.h5;seq;50.598125;1.236522e+01;3.165536e-04
512;19531;50;0.001000;input_data_512.h5;;seq;30.967758;2.551552e+01;1.306411e-03
512;19531;50;0.001000;input_data_512.h5;/lscratch/1174997.dm2/512x512_out_seq.h5;seq;30.967758;2.577280e+01;1.319584e-03
1024;9765;50;0.001000;input_data_1024.h5;;seq;23.933413;5.229790e+01;5.355648e-03
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174997.dm2/1024x1024_out_seq.h5;seq;23.933413;5.245960e+01;5.372207e-03
2048;4882;50;0.001000;input_data_2048.h5;;seq;21.396944;1.095776e+02;2.244523e-02
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174997.dm2/2048x2048_out_seq.h5;seq;21.396944;1.094500e+02;2.241909e-02
4096;2441;50;0.001000;input_data_4096.h5;;seq;20.496801;2.208360e+02;9.046949e-02
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174997.dm2/4096x4096_out_seq.h5;seq;20.496801;2.201593e+02;9.019227e-02
